Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,1.10044E+11,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.3,-96.54,562212,HH,Waste,"653,854.00",,"653,854.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"653,854.00",,,,N,N,N
1010040,1.1007E+11,15-18565/15-18662,Hazard,KY,40701,4200 S. Hwy 15,PERRY COUNTY,37.22,-83.16,212112,FF,Other,"125,981.75",,"125,981.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"125,981.75",,,,,,N,N,N
1010085,1.10056E+11,15-19015,Hazard,KY,41701,1845 S. KY HWY 15,PERRY COUNTY,37.24,-83.18,212112,FF,Other,"93,918.75",,"93,918.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93,918.75",,,,,,N,N,N
1012147,,17Z Gas Plant - Chevron USA Inc.,McKittrick,CA,93251,22845 Highway 33,,35.32,-119.63,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems","3,564.14","3,485.60",76.75,1.79,,,,,,,,,,"3,483.19",,,,,,,,,,,,,,,,,,,80.95,,,,,,,,,,,,,,,,,,N,N,N
1000112,1.1002E+11,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74,221112,"C,D",Power Plants,"70,705.29","70,633.50",32.75,39.04,,,,,,,,,,250.1,"70,455.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003742,1.1001E+11,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,"C,HH",Waste,"31,220.15",168.4,"31,051.75",,,,,,,,,,,168.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,051.75",,,,N,N,N
1003188,1.10001E+11,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99,326113,"C,N",Minerals,"34,432.42","34,396.80",16.25,19.37,,,,,,,,,,"34,265.42",,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005043,1.10036E+11,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93,541715,C,Other,"104,995.53","104,883.30",50.25,61.98,,,,,,,,,,"104,995.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003739,1.10001E+11,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.9,326113,"C,N",Minerals,"28,622.30","28,593.80",13,15.5,,,,,,,,,,"27,795.90",,,,,,,,,826.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007698,1.1E+11,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95,-89.64,212313,C,Other,"40,427.05","40,385.40",19,22.65,,,,,,,,,,"40,427.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
